,pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
1650271,1650271,1528102921.35545,e,1,tcp,1,192.168.100.150,54130,192.168.100.3,80,8,1458,RST,1,1528102927.75132,30,6.395867,1.613026,1.613026,3.226052,0.0,3.226052,5,3,758,700,1.094457,0.625404,0.619953,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25081,1.21662,328,308,1,DDoS,HTTP
1650272,1650272,1528102921.3557801,e,1,tcp,1,192.168.100.150,54132,192.168.100.3,80,8,1391,RST,1,1528102927.7513402,31,6.395558,1.61455,1.61455,3.229099,0.0,3.229099,5,3,691,700,1.09451,0.625434,0.619368,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.2508700000000001,1.21662,328,308,1,DDoS,HTTP
1650273,1650273,1528102921.35608,e,1,tcp,1,192.168.100.150,54134,192.168.100.3,80,8,1408,RST,1,1528102927.75137,32,6.395297,1.614809,1.614809,3.229618,0.0,3.229618,5,3,708,700,1.094554,0.62546,0.619268,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25092,1.21662,328,308,1,DDoS,HTTP
1650274,1650274,1528102921.35632,e,1,tcp,1,192.168.100.150,54136,192.168.100.3,80,8,1406,RST,1,1528102927.7514,33,6.395084,1.61509,1.61509,3.23018,0.0,3.23018,5,3,706,700,1.094591,0.62548,0.619161,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25096,1.21662,328,308,1,DDoS,HTTP
1650275,1650275,1528102921.3566198,e,1,tcp,1,192.168.100.150,54138,192.168.100.3,80,8,1415,RST,1,1528102927.75143,34,6.394807,2.116349,2.116349,4.232697,0.0,4.232697,5,3,715,700,1.094638,0.625508,0.472512,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25102,1.21662,328,308,1,DDoS,HTTP
1650276,1650276,1528102921.35694,e,1,tcp,1,192.168.100.150,54140,192.168.100.3,80,8,1517,RST,1,1528102927.75145,35,6.394516,2.1165279999999997,2.1165279999999997,4.233055,0.0,4.233055,5,3,817,700,1.0946879999999999,0.625536,0.472472,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.2510700000000001,1.21662,328,308,1,DDoS,HTTP
1650277,1650277,1528102921.35871,e,1,tcp,1,192.168.100.150,54142,192.168.100.3,80,8,1363,RST,1,1528102927.75148,36,6.392765,2.1159619999999997,2.1159619999999997,4.231923999999999,0.0,4.231923999999999,5,3,663,700,1.0949879999999999,0.625707,0.47259799999999996,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.2514100000000001,1.21662,328,308,1,DDoS,HTTP
1650278,1650278,1528102921.3591402,e,1,tcp,1,192.168.100.150,54144,192.168.100.3,80,8,1643,RST,1,1528102927.75151,37,6.392368,2.116134,2.116134,4.232268,0.0,4.232268,5,3,943,700,1.095056,0.625746,0.47256000000000004,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25149,1.21662,328,308,1,DDoS,HTTP
1650279,1650279,1528102921.36131,e,1,tcp,1,192.168.100.150,54146,192.168.100.3,80,8,1570,RST,1,1528102927.7515302,38,6.3902209999999995,2.119817,2.119817,4.239634,0.0,4.239634,5,3,870,700,1.095424,0.6259560000000001,0.471739,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25191,1.21662,328,308,1,DDoS,HTTP
1650280,1650280,1528102921.36174,e,1,tcp,1,192.168.100.150,54148,192.168.100.3,80,8,1657,RST,1,1528102927.75159,39,6.389842,2.115561,2.115561,4.231123,0.0,4.231123,5,3,957,700,1.095489,0.6259939999999999,0.472688,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25199,1.21662,328,308,1,DDoS,HTTP
1650281,1650281,1528102921.36214,e,1,tcp,1,192.168.100.150,54150,192.168.100.3,80,8,1590,RST,1,1528102927.75161,40,6.389469999999999,2.1157470000000003,2.1157470000000003,4.2314940000000005,0.0,4.2314940000000005,5,3,890,700,1.095553,0.62603,0.472646,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25206,1.21662,328,308,1,DDoS,HTTP
1650282,1650282,1528102921.3624802,e,1,tcp,1,192.168.100.150,54152,192.168.100.3,80,8,1493,RST,1,1528102927.75164,41,6.389158,2.115973,2.115973,4.231945,0.0,4.231945,5,3,793,700,1.0956059999999999,0.626061,0.472596,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.2521200000000001,1.21662,328,308,1,DDoS,HTTP
1650283,1650283,1528102921.36523,e,1,tcp,1,192.168.100.150,54154,192.168.100.3,80,8,1615,RST,1,1528102927.7516801,42,6.386446,2.114964,2.114964,4.229928,0.0,4.229928,5,3,915,700,1.096071,0.626326,0.472821,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25265,1.21662,328,308,1,DDoS,HTTP
1650284,1650284,1528102921.36553,e,1,tcp,1,192.168.100.150,54156,192.168.100.3,80,8,1486,RST,1,1528102927.7517,43,6.386174,2.117682,2.117682,4.235365,0.0,4.235365,5,3,786,700,1.096118,0.6263529999999999,0.472214,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25271,1.21662,328,308,1,DDoS,HTTP
1650285,1650285,1528102921.36574,e,1,tcp,1,192.168.100.150,54158,192.168.100.3,80,8,1373,RST,1,1528102927.75173,44,6.385985,2.1179799999999998,2.1179799999999998,4.235958999999999,0.0,4.235958999999999,5,3,673,700,1.09615,0.626372,0.47214799999999996,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25274,1.21662,328,308,1,DDoS,HTTP
1650286,1650286,1528102921.36603,e,1,tcp,1,192.168.100.150,54160,192.168.100.3,80,8,1481,RST,1,1528102927.75175,45,6.385725,2.118221,2.118221,4.236442,0.0,4.236442,5,3,781,700,1.096195,0.626397,0.47209399999999996,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25279,1.21662,328,308,1,DDoS,HTTP
1650287,1650287,1528102921.36631,e,1,tcp,1,192.168.100.150,54162,192.168.100.3,80,8,1388,RST,1,1528102927.75177,46,6.38546,2.11846,2.11846,4.236921,0.0,4.236921,5,3,688,700,1.096241,0.626423,0.472041,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25285,1.21662,328,308,1,DDoS,HTTP
1650288,1650288,1528102921.36664,e,1,tcp,1,192.168.100.150,54164,192.168.100.3,80,8,1428,RST,1,1528102927.7518,47,6.385153,2.1213,2.1213,4.2426,0.0,4.2426,5,3,728,700,1.096293,0.6264529999999999,0.471409,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25291,1.21662,328,308,1,DDoS,HTTP
1650289,1650289,1528102921.36718,e,1,tcp,1,192.168.100.150,54166,192.168.100.3,80,8,1676,RST,1,1528102927.7518198,48,6.384635,2.121414,2.121414,4.242828,0.0,4.242828,5,3,976,700,1.096382,0.626504,0.471384,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25301,1.21662,328,308,1,DDoS,HTTP
1650290,1650290,1528102921.37085,e,1,tcp,1,192.168.100.149,41656,192.168.100.3,80,10,1488,RST,1,1528102934.81059,50,13.439741,4.196931,0.043054,8.393862,4.1539,4.239962,6,4,722,766,0.669656,0.372031,0.323073,3105,59969,20,328,328,700,0.744362,1.21662,40,2,0.744062,1.21662,328,20,1,DDoS,HTTP
1650291,1650291,1528102921.3820002,e,1,tcp,1,192.168.100.149,41696,192.168.100.3,80,10,1617,RST,1,1528102934.81091,80,13.428915,0.680333,0.957405,2.0409990000000002,0.0,2.034302,6,4,851,766,0.670196,0.37233099999999997,0.263282,3105,59969,20,328,328,700,0.744362,1.21662,40,2,0.7446619999999999,1.21662,328,20,1,DDoS,HTTP
1650292,1650292,1528102921.38308,e,1,tcp,1,192.168.100.150,54194,192.168.100.3,80,8,1371,RST,1,1528102927.75214,83,6.36906,0.030409,0.030307,0.060818,0.000102,0.060716,5,3,671,700,1.099063,0.6280359999999999,0.31401799999999996,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25607,1.21662,328,308,1,DDoS,HTTP
1650293,1650293,1528102921.38342,e,1,tcp,1,192.168.100.150,54196,192.168.100.3,80,8,1494,RST,1,1528102927.7521698,84,6.368747,0.030048000000000002,0.02995,0.060096000000000004,9.8e-05,0.059998,5,3,794,700,1.099117,0.628067,0.31403400000000004,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25613,1.21662,328,308,1,DDoS,HTTP
1650294,1650294,1528102921.38374,e,1,tcp,1,192.168.100.150,54198,192.168.100.3,80,8,1451,RST,1,1528102927.75219,85,6.368447,0.027681,0.027587999999999998,0.055362,9.300000000000001e-05,0.055269000000000006,5,3,751,700,1.099169,0.628097,0.314048,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25619,1.21662,328,308,1,DDoS,HTTP
1650295,1650295,1528102921.38418,e,1,tcp,1,192.168.100.150,54200,192.168.100.3,80,8,1550,RST,1,1528102927.75221,86,6.368034,0.027317,0.027213,0.054634,0.00010400000000000001,0.054529999999999995,5,3,850,700,1.09924,0.628137,0.314069,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25627,1.21662,328,308,1,DDoS,HTTP
1650296,1650296,1528102921.38455,e,1,tcp,1,192.168.100.150,54202,192.168.100.3,80,8,1512,RST,1,1528102927.75225,87,6.367701,0.026829000000000002,0.026733,0.053659000000000005,9.6e-05,0.053563,5,3,812,700,1.0992979999999999,0.62817,0.314085,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25634,1.21662,328,308,1,DDoS,HTTP
1650297,1650297,1528102921.38485,e,1,tcp,1,192.168.100.150,54204,192.168.100.3,80,8,1443,RST,1,1528102927.75227,88,6.367416,0.026398,0.026297000000000004,0.052796,0.000101,0.052695000000000006,5,3,743,700,1.0993469999999999,0.6281979999999999,0.31409899999999996,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.2564,1.21662,328,308,1,DDoS,HTTP
1650298,1650298,1528102921.38515,e,1,tcp,1,192.168.100.150,54206,192.168.100.3,80,8,1418,RST,1,1528102927.7523,89,6.367148,0.024995,0.02489,0.04999,0.000105,0.049885000000000006,5,3,718,700,1.099393,0.628225,0.314112,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25645,1.21662,328,308,1,DDoS,HTTP
1650299,1650299,1528102921.38545,e,1,tcp,1,192.168.100.150,54208,192.168.100.3,80,8,1487,RST,1,1528102927.75241,90,6.366956,0.024562999999999998,0.024465999999999998,0.049127,9.7e-05,0.049030000000000004,5,3,787,700,1.099426,0.6282439999999999,0.31412199999999996,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.2564899999999999,1.21662,328,308,1,DDoS,HTTP
1650300,1650300,1528102921.38567,e,1,tcp,1,192.168.100.150,54210,192.168.100.3,80,8,1325,RST,1,1528102927.7524,91,6.366736,0.020956,0.020798,0.041911000000000004,0.00015800000000000002,0.041753,5,3,625,700,1.099465,0.628265,0.314133,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25653,1.21662,328,308,1,DDoS,HTTP
1650301,1650301,1528102921.3859699,e,1,tcp,1,192.168.100.150,54212,192.168.100.3,80,8,1420,RST,1,1528102927.75241,92,6.366437,0.021746,0.021649,0.043492,9.7e-05,0.043394999999999996,5,3,720,700,1.099516,0.6282949999999999,0.31414699999999995,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.2565899999999999,0.8980469999999999,1016,184,1,DDoS,HTTP
1650302,1650302,1528102921.3863199,e,1,tcp,1,192.168.100.150,54214,192.168.100.3,80,8,1477,RST,1,1528102927.75247,93,6.36615,0.021401,0.021315,0.042801,8.6e-05,0.042714999999999996,5,3,777,700,1.099566,0.628323,0.314162,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25665,0.8980469999999999,1016,184,1,DDoS,HTTP
1650303,1650303,1528102921.38665,e,1,tcp,1,192.168.100.150,54216,192.168.100.3,80,8,1423,RST,1,1528102927.75247,94,6.365823000000001,0.021088,0.020964,0.042176,0.000124,0.042052,5,3,723,700,1.0996219999999999,0.628356,0.314178,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25671,0.8980469999999999,1016,184,1,DDoS,HTTP
1650304,1650304,1528102921.38694,e,1,tcp,1,192.168.100.150,54218,192.168.100.3,80,8,1396,RST,1,1528102927.75248,95,6.365537000000001,0.017797,0.017703,0.035595,9.499999999999999e-05,0.0355,5,3,696,700,1.0996709999999998,0.628384,0.314192,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.2567700000000002,0.8980469999999999,1016,184,1,DDoS,HTTP
1650305,1650305,1528102921.38719,e,1,tcp,1,192.168.100.150,54220,192.168.100.3,80,8,1340,RST,1,1528102927.75247,96,6.365282,0.013806,0.013715,0.027612,9.1e-05,0.027520999999999997,5,3,640,700,1.099716,0.628409,0.314204,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25682,0.8980469999999999,1016,184,1,DDoS,HTTP
1650306,1650306,1528102921.38749,e,1,tcp,1,192.168.100.150,54222,192.168.100.3,80,8,1489,RST,1,1528102927.75248,97,6.364992,0.013403,0.013305,0.026806,9.8e-05,0.026708,5,3,789,700,1.099766,0.628438,0.314219,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25688,0.8980469999999999,1016,184,1,DDoS,HTTP
1650307,1650307,1528102921.38777,e,1,tcp,1,192.168.100.150,54224,192.168.100.3,80,8,1367,RST,1,1528102927.75255,98,6.3647800000000005,0.012972999999999998,0.012882,0.025945999999999997,9.1e-05,0.025855,5,3,667,700,1.099802,0.628458,0.314229,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25692,0.8980469999999999,1016,184,1,DDoS,HTTP
1650308,1650308,1528102921.38804,e,1,tcp,1,192.168.100.150,54226,192.168.100.3,80,8,1417,RST,1,1528102927.75254,99,6.364501000000001,0.01252,0.012423,0.025041,9.8e-05,0.024943,5,3,717,700,1.099851,0.628486,0.314243,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.2569700000000001,0.8980469999999999,1016,184,1,DDoS,HTTP
1650309,1650309,1528102921.3885,e,1,tcp,1,192.168.100.150,54228,192.168.100.3,80,8,1629,RST,1,1528102927.75255,100,6.364047,0.009847,0.009752,0.019693000000000002,9.4e-05,0.019599000000000002,5,3,929,700,1.0999290000000002,0.6285310000000001,0.314265,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25706,0.8980469999999999,1016,184,1,DDoS,HTTP
1650310,1650310,1528102921.38894,e,1,tcp,1,192.168.100.150,54230,192.168.100.3,80,8,1639,RST,1,1528102927.75255,101,6.363605000000001,0.009026000000000001,0.008925,0.018052000000000002,0.000101,0.017950999999999998,5,3,939,700,1.100005,0.628575,0.314287,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25715,0.8980469999999999,1016,184,1,DDoS,HTTP
1650311,1650311,1528102921.38922,e,1,tcp,1,192.168.100.149,41698,192.168.100.3,80,10,1662,RST,1,1528102934.81091,102,13.421692000000002,0.67682,0.9570930000000001,2.030461,0.0,2.030354,6,4,896,766,0.670556,0.372531,0.263358,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745063,0.8980469999999999,1016,467,1,DDoS,HTTP
1650312,1650312,1528102921.38944,e,1,tcp,1,192.168.100.150,54232,192.168.100.3,80,8,1646,RST,1,1528102927.75259,103,6.36315,0.004371,0.004274,0.008742,9.7e-05,0.008645,5,3,946,700,1.100084,0.6286189999999999,0.31431,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25724,0.8980469999999999,1016,184,1,DDoS,HTTP
1650313,1650313,1528102921.38979,e,1,tcp,1,192.168.100.150,54234,192.168.100.3,80,8,1572,RST,1,1528102927.75259,104,6.362804,0.00176,0.001655,0.00352,0.000105,0.003415,5,3,872,700,1.100144,0.628654,0.314327,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25731,0.8980469999999999,1016,184,1,DDoS,HTTP
1650314,1650314,1528102921.39007,e,1,tcp,1,192.168.100.150,54236,192.168.100.3,80,8,1407,RST,1,1528102927.75259,105,6.36252,0.001336,0.001239,0.002671,9.7e-05,0.002574,5,3,707,700,1.100193,0.628682,0.314341,32425,175718,184,1016,1016,1016,1.37294,0.8980469999999999,100,21,1.25736,0.8980469999999999,1016,184,1,DDoS,HTTP
1650315,1650315,1528102921.39225,e,1,tcp,1,192.168.100.149,41700,192.168.100.3,80,10,1589,RST,1,1528102934.81093,106,13.418685,0.655468,0.926882,1.966403,0.0,1.966277,6,4,823,766,0.6707069999999999,0.37261500000000003,0.261954,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745229,0.8980469999999999,1016,467,1,DDoS,HTTP
1650316,1650316,1528102921.39286,e,1,tcp,1,192.168.100.149,41702,192.168.100.3,80,10,1586,RST,1,1528102934.81093,107,13.418070000000002,0.671497,0.949559,2.014491,0.0,2.014376,6,4,820,766,0.670737,0.372632,0.263073,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745264,0.8980469999999999,1016,467,1,DDoS,HTTP
1650317,1650317,1528102921.3933,e,1,tcp,1,192.168.100.149,41704,192.168.100.3,80,10,1557,RST,1,1528102934.81096,108,13.417662,0.670157,0.9476680000000001,2.01047,0.0,2.0103619999999998,6,4,791,766,0.670758,0.372643,0.262989,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745286,0.8980469999999999,1016,467,1,DDoS,HTTP
1650318,1650318,1528102921.39371,e,1,tcp,1,192.168.100.149,41706,192.168.100.3,80,10,1511,RST,1,1528102934.81096,109,13.417251,0.655468,0.926897,1.966405,0.0,1.9662990000000002,6,4,745,766,0.670778,0.372655,0.26198699999999997,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745309,0.8980469999999999,1016,467,1,DDoS,HTTP
1650319,1650319,1528102921.39433,e,1,tcp,1,192.168.100.149,41708,192.168.100.3,80,10,1717,RST,1,1528102934.81099,110,13.416657999999998,0.670164,0.9476829999999999,2.010493,0.0,2.010391,6,4,951,766,0.670808,0.37267100000000003,0.263013,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.7453420000000001,0.8980469999999999,1016,467,1,DDoS,HTTP
1650320,1650320,1528102921.39485,e,1,tcp,1,192.168.100.149,41710,192.168.100.3,80,10,1585,RST,1,1528102934.81099,111,13.416139999999999,0.670157,0.9476870000000001,2.010471,0.0,2.010389,6,4,819,766,0.670834,0.372685,0.263025,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745371,0.8980469999999999,1016,467,1,DDoS,HTTP
1650321,1650321,1528102921.39515,e,1,tcp,1,192.168.100.149,41712,192.168.100.3,80,10,1481,RST,1,1528102934.81101,112,13.415865,0.670168,0.9476969999999999,2.010503,0.0,2.010414,6,4,715,766,0.670848,0.372693,0.26303200000000004,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745386,0.8980469999999999,1016,467,1,DDoS,HTTP
1650322,1650322,1528102921.39553,e,1,tcp,1,192.168.100.149,41714,192.168.100.3,80,10,1527,RST,1,1528102934.81101,113,13.415481,0.670172,0.9476959999999999,2.010516,0.0,2.010416,6,4,761,766,0.670867,0.372704,0.26304099999999997,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.7454069999999999,0.8980469999999999,1016,467,1,DDoS,HTTP
1650323,1650323,1528102921.39609,e,1,tcp,1,192.168.100.149,41716,192.168.100.3,80,10,1743,RST,1,1528102934.8110301,114,13.414945000000001,0.670181,0.9477040000000001,2.010544,0.0,2.010437,6,4,977,766,0.670894,0.372719,0.263054,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745437,0.8980469999999999,1016,467,1,DDoS,HTTP
1650324,1650324,1528102921.3967,e,1,tcp,1,192.168.100.149,41718,192.168.100.3,80,10,1634,RST,1,1528102934.8110301,115,13.414329,0.670175,0.9477110000000001,2.010525,0.0,2.01044,6,4,868,766,0.670924,0.372736,0.26306799999999997,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745471,0.8980469999999999,1016,467,1,DDoS,HTTP
1650325,1650325,1528102921.3972301,e,1,tcp,1,192.168.100.149,41720,192.168.100.3,80,10,1621,RST,1,1528102934.81106,116,13.413827,0.670184,0.947722,2.010553,0.0,2.010466,6,4,855,766,0.670949,0.37275,0.26308000000000004,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745499,0.8980469999999999,1016,467,1,DDoS,HTTP
1650326,1650326,1528102921.39762,e,1,tcp,1,192.168.100.149,41722,192.168.100.3,80,10,1537,RST,1,1528102934.81106,117,13.413434,0.670192,0.947735,2.010576,0.0,2.0104919999999997,6,4,771,766,0.6709689999999999,0.372761,0.26309,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745521,0.8980469999999999,1016,467,1,DDoS,HTTP
1650327,1650327,1528102921.3979099,e,1,tcp,1,192.168.100.149,41724,192.168.100.3,80,10,1467,RST,1,1528102934.81109,118,13.413176000000002,0.6688470000000001,0.945836,2.006541,0.0,2.0064610000000003,6,4,701,766,0.670982,0.372768,0.26300300000000004,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745536,0.8980469999999999,1016,467,1,DDoS,HTTP
1650328,1650328,1528102921.39856,e,1,tcp,1,192.168.100.149,41726,192.168.100.3,80,10,1703,RST,1,1528102934.81109,119,13.412532999999998,0.668854,0.9458290000000001,2.0065619999999997,0.0,2.0064580000000003,6,4,937,766,0.671014,0.372786,0.263018,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745571,0.8980469999999999,1016,467,1,DDoS,HTTP
1650329,1650329,1528102921.39891,e,1,tcp,1,192.168.100.149,41728,192.168.100.3,80,10,1570,RST,1,1528102934.81112,120,13.412208999999999,0.6688609999999999,0.945843,2.006582,0.0,2.006485,6,4,804,766,0.67103,0.372795,0.26302600000000004,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.7455890000000001,0.8980469999999999,1016,467,1,DDoS,HTTP
1650330,1650330,1528102921.39916,e,1,tcp,1,192.168.100.149,41730,192.168.100.3,80,10,1542,RST,1,1528102934.81111,121,13.411949,0.6675300000000001,0.9439799999999999,2.00259,0.0,2.002519,6,4,776,766,0.6710430000000001,0.372802,0.26294,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.745604,0.8980469999999999,1016,467,1,DDoS,HTTP
1650331,1650331,1528102921.3995302,e,1,tcp,1,192.168.100.149,41732,192.168.100.3,80,10,1735,RST,1,1528102934.81114,122,13.411607,0.667538,0.943989,2.002615,0.0,2.00254,6,4,969,766,0.671061,0.372811,0.262949,76221,175718,467,1016,1016,1016,0.7570279999999999,0.8980469999999999,100,46,0.7456229999999999,0.8980469999999999,1016,467,1,DDoS,HTTP
